time,gyro,accelerometer,locator,velocity
12_18_2020_16:12:14,{'Gyroscope': {'is_valid': True, 'X': 0.20933197816134452, 'Y': 0.2398495562933931, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03286265955140344, 'Y': -0.029448505497875033, 'Z': 0.9649238625925314}},{'Gyroscope': {'is_valid': True, 'X': 0.20933197816134452, 'Y': 0.2398495562933931, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03286265955140344, 'Y': -0.029448505497875033, 'Z': 0.9649238625925314}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:15,{'Gyroscope': {'is_valid': True, 'X': 0.2048020251570506, 'Y': -0.0040526501843487495, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03293990717105011, 'Y': -0.037307735541208586, 'Z': 0.9568290749929922}},{'Gyroscope': {'is_valid': True, 'X': 0.2048020251570506, 'Y': -0.0040526501843487495, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03293990717105011, 'Y': -0.037307735541208586, 'Z': 0.9568290749929922}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:16,{'Gyroscope': {'is_valid': True, 'X': 0.085115898420554, 'Y': 0.12040184813554333, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03681277857087828, 'Y': -0.037260051825377616, 'Z': 0.9608440438659969}},{'Gyroscope': {'is_valid': True, 'X': 0.085115898420554, 'Y': 0.12040184813554333, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03681277857087828, 'Y': -0.037260051825377616, 'Z': 0.9608440438659969}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:17,{'Gyroscope': {'is_valid': True, 'X': 0.0722412951458864, 'Y': 0.13494538146437662, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03280543909240663, 'Y': -0.03734874353682294, 'Z': 0.9647388497751059}},{'Gyroscope': {'is_valid': True, 'X': 0.0722412951458864, 'Y': 0.13494538146437662, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03280543909240663, 'Y': -0.03734874353682294, 'Z': 0.9647388497751059}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:18,{'Gyroscope': {'is_valid': True, 'X': 0.2996926196617551, 'Y': -0.7233615035011098, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': 0.17290878672453402, 'Y': -0.17515277494097958, 'Z': 0.9505462685950441}},{'Gyroscope': {'is_valid': True, 'X': 0.2996926196617551, 'Y': -0.7233615035011098, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': 0.17290878672453402, 'Y': -0.17515277494097958, 'Z': 0.9505462685950441}},{'Locator': {'is_valid': True, 'X': -0.0009499490261077881, 'Y': 0.20981207494878618}, 'Velocity': {'is_valid': True, 'X': -0.0017222750470322623, 'Y': 0.5571192515914136}},{'Locator': {'is_valid': True, 'X': -0.0009499490261077881, 'Y': 0.20981207494878618}, 'Velocity': {'is_valid': True, 'X': -0.0017222750470322623, 'Y': 0.5571192515914136}}
12_18_2020_16:12:19,{'Gyroscope': {'is_valid': True, 'X': 0.7481579670561587, 'Y': 0.367403496142515, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.14550494778563916, 'Y': -0.009383197876015714, 'Z': 1.3033161203617496}},{'Gyroscope': {'is_valid': True, 'X': 0.7481579670561587, 'Y': 0.367403496142515, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.14550494778563916, 'Y': -0.009383197876015714, 'Z': 1.3033161203617496}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.6980933250633825}, 'Velocity': {'is_valid': True, 'X': 0.00013768789361634504, 'Y': -0.04459857825296876}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.6980933250633825}, 'Velocity': {'is_valid': True, 'X': 0.00013768789361634504, 'Y': -0.04459857825296876}}
12_18_2020_16:12:20,{'Gyroscope': {'is_valid': True, 'X': -0.17642928291502358, 'Y': -0.10395003485109555, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.029027935124242177, 'Y': -0.03342532739821458, 'Z': 0.9568634072683899}},{'Gyroscope': {'is_valid': True, 'X': -0.17642928291502358, 'Y': -0.10395003485109555, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.029027935124242177, 'Y': -0.03342532739821458, 'Z': 0.9568634072683899}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:21,{'Gyroscope': {'is_valid': True, 'X': 0.008345115931660985, 'Y': -0.1596207730842707, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.02893256769257846, 'Y': -0.037396427252655684, 'Z': 0.9607238809021013}},{'Gyroscope': {'is_valid': True, 'X': 0.008345115931660985, 'Y': -0.1596207730842707, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.02893256769257846, 'Y': -0.037396427252655684, 'Z': 0.9607238809021013}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:23,{'Gyroscope': {'is_valid': True, 'X': 0.0751023180955599, 'Y': 0.20146416504917397, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.036908146002542, 'Y': -0.03328895197093651, 'Z': 0.9569816628836527}},{'Gyroscope': {'is_valid': True, 'X': 0.0751023180955599, 'Y': 0.20146416504917397, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.036908146002542, 'Y': -0.03328895197093651, 'Z': 0.9569816628836527}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:24,{'Gyroscope': {'is_valid': True, 'X': 0.06341980771685485, 'Y': -0.35095168285783984, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.032872196294571054, 'Y': -0.03732776270185845, 'Z': 0.9607830087097327}},{'Gyroscope': {'is_valid': True, 'X': 0.06341980771685485, 'Y': -0.35095168285783984, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.032872196294571054, 'Y': -0.03732776270185845, 'Z': 0.9607830087097327}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:12:25,{'Gyroscope': {'is_valid': True, 'X': 0.13375328856841406, 'Y': 0.1356606372016813, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03290080652406857, 'Y': -0.033377643682383606, 'Z': 0.9608764687927618}},{'Gyroscope': {'is_valid': True, 'X': 0.13375328856841406, 'Y': 0.1356606372016813, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03290080652406857, 'Y': -0.033377643682383606, 'Z': 0.9608764687927618}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.7095374168638955}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
