time,gyro,accelerometer,locator,velocity
12_18_2020_16:30:30,{'Gyroscope': {'is_valid': True, 'X': -0.10979129004044808, 'Y': -0.006198417396717559, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.021186824892923894, 'Y': -0.037491794684317625, 'Z': 0.9526958505047247}},{'Gyroscope': {'is_valid': True, 'X': -0.10979129004044808, 'Y': -0.006198417396717559, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.021186824892923894, 'Y': -0.037491794684317625, 'Z': 0.9526958505047247}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.707630068227445}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.707630068227445}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:30:31,{'Gyroscope': {'is_valid': True, 'X': 0.19359635193700342, 'Y': -0.13244105506055348, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028903957463079166, 'Y': -0.04134654627212875, 'Z': 0.9606304208190721}},{'Gyroscope': {'is_valid': True, 'X': 0.19359635193700342, 'Y': -0.13244105506055348, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028903957463079166, 'Y': -0.04134654627212875, 'Z': 0.9606304208190721}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.707630068227445}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.707630068227445}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:30:32,{'Gyroscope': {'is_valid': True, 'X': -7.18522025439529, 'Y': -3.1597609639072743, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.13009452450324233, 'Y': -0.21337318052849064, 'Z': 0.9580841103936741}},{'Gyroscope': {'is_valid': True, 'X': -7.18522025439529, 'Y': -3.1597609639072743, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.13009452450324233, 'Y': -0.21337318052849064, 'Z': 0.9580841103936741}},{'Locator': {'is_valid': True, 'X': -0.0009499490261077881, 'Y': 0.8258856834891048}, 'Velocity': {'is_valid': True, 'X': 0.0035828363624359483, 'Y': 0.8332002176514832}},{'Locator': {'is_valid': True, 'X': -0.0009499490261077881, 'Y': 0.8258856834891048}, 'Velocity': {'is_valid': True, 'X': 0.0035828363624359483, 'Y': 0.8332002176514832}}
12_18_2020_16:30:34,{'Gyroscope': {'is_valid': True, 'X': 21.31748246525376, 'Y': -2.9586548923882674, 'Z': 1.1708741079016818}, 'Accelerometer': {'is_valid': True, 'X': -0.09338950740485252, 'Y': 0.032814029611838436, 'Z': 1.3747444193285752}},{'Gyroscope': {'is_valid': True, 'X': 21.31748246525376, 'Y': -2.9586548923882674, 'Z': 1.1708741079016818}, 'Accelerometer': {'is_valid': True, 'X': -0.09338950740485252, 'Y': 0.032814029611838436, 'Z': 1.3747444193285752}},{'Locator': {'is_valid': True, 'X': 0.001911073923110962, 'Y': 1.6288794580923422}, 'Velocity': {'is_valid': True, 'X': -1.3409880924797335e-05, 'Y': -0.0023618328856214177}},{'Locator': {'is_valid': True, 'X': 0.001911073923110962, 'Y': 1.6288794580923422}, 'Velocity': {'is_valid': True, 'X': -1.3409880924797335e-05, 'Y': -0.0023618328856214177}}
12_18_2020_16:30:35,{'Gyroscope': {'is_valid': True, 'X': 0.4756455310794081, 'Y': -1.2986655350073306, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.055475231272977155, 'Y': -0.11606120693405586, 'Z': 0.9869594613525443}},{'Gyroscope': {'is_valid': True, 'X': 0.4756455310794081, 'Y': -1.2986655350073306, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.055475231272977155, 'Y': -0.11606120693405586, 'Z': 0.9869594613525443}},{'Locator': {'is_valid': True, 'X': 0.001911073923110962, 'Y': 1.6422308985256677}, 'Velocity': {'is_valid': True, 'X': 0.002454520436575791, 'Y': 0.42985499031605556}},{'Locator': {'is_valid': True, 'X': 0.001911073923110962, 'Y': 1.6422308985256677}, 'Velocity': {'is_valid': True, 'X': 0.002454520436575791, 'Y': 0.42985499031605556}}
12_18_2020_16:30:36,{'Gyroscope': {'is_valid': True, 'X': 0.4849438556666428, 'Y': -0.8683199996287385, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.06711482630742616, 'Y': -0.22345637907820226, 'Z': 1.182405475802348}},{'Gyroscope': {'is_valid': True, 'X': 0.4849438556666428, 'Y': -0.8683199996287385, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.06711482630742616, 'Y': -0.22345637907820226, 'Z': 1.182405475802348}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.107623965039238}, 'Velocity': {'is_valid': True, 'X': 6.675836631764298e-05, 'Y': 0.011873246406175042}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.107623965039238}, 'Velocity': {'is_valid': True, 'X': 6.675836631764298e-05, 'Y': 0.011873246406175042}}
12_18_2020_16:30:37,{'Gyroscope': {'is_valid': True, 'X': -0.10454608129907683, 'Y': 0.2968315967120816, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028837200260916518, 'Y': -0.04136657343277861, 'Z': 0.9645843545358126}},{'Gyroscope': {'is_valid': True, 'X': -0.10454608129907683, 'Y': 0.2968315967120816, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028837200260916518, 'Y': -0.04136657343277861, 'Z': 0.9645843545358126}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:30:38,{'Gyroscope': {'is_valid': True, 'X': -0.22757006814413216, 'Y': 0.18096016724166475, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03681277857087828, 'Y': -0.037260051825377616, 'Z': 0.9608440438659969}},{'Gyroscope': {'is_valid': True, 'X': -0.22757006814413216, 'Y': 0.18096016724166475, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.03681277857087828, 'Y': -0.037260051825377616, 'Z': 0.9608440438659969}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:30:39,{'Gyroscope': {'is_valid': True, 'X': 0.018597114835756656, 'Y': 0.2980236896075894, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028961177922077752, 'Y': -0.033446308233180844, 'Z': 0.9608173409851304}},{'Gyroscope': {'is_valid': True, 'X': 0.018597114835756656, 'Y': 0.2980236896075894, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028961177922077752, 'Y': -0.033446308233180844, 'Z': 0.9608173409851304}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:30:40,{'Gyroscope': {'is_valid': True, 'X': 0.07247971372498796, 'Y': -0.011562835427866958, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028903957463079166, 'Y': -0.04134654627212875, 'Z': 0.9606304208190721}},{'Gyroscope': {'is_valid': True, 'X': 0.07247971372498796, 'Y': -0.011562835427866958, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028903957463079166, 'Y': -0.04134654627212875, 'Z': 0.9606304208190721}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_16:30:41,{'Gyroscope': {'is_valid': True, 'X': 0.07677124814972558, 'Y': 0.11563347655260259, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.029038425541724422, 'Y': -0.0413055382765144, 'Z': 0.9527206460369584}},{'Gyroscope': {'is_valid': True, 'X': 0.07677124814972558, 'Y': 0.11563347655260259, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.029038425541724422, 'Y': -0.0413055382765144, 'Z': 0.9527206460369584}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 0.005725771188735962, 'Y': 2.1133460109394946}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
